0.168,1.699,0.33,-23.315,14.771,18.188,88.171,0.275,136.555
-0.125,0.489,0.054,-16.663,-59.204,-0.977,87.523,-0.379,141.037
0.107,-0.445,0.173,8.789,-53.467,0.061,87.325,-0.5,139.175
0.072,0.044,-0.015,-12.756,-44.922,-2.197,85.809,-1.434,133.418
0.44,2.721,0.11,27.71,24.536,14.893,89.335,-1.686,133.138
-0.071,0.712,-0.178,-33.386,-16.907,-0.122,87.38,-2.796,136.066
-0.02,-0.06,-0.146,22.766,-8.85,-4.517,85.556,-3.159,133.94
-0.583,1.414,-0.458,18.738,-131.714,30.701,86.336,-3.961,128.644
-0.156,2.168,0.248,12.329,-173.218,3.967,90.269,-3.307,123.745
-0.056,1.427,-0.005,-20.264,32.288,0.732,86.765,-2.681,110.325
-0.113,1.49,-0.238,49.805,136.78,-5.31,92.719,0.016,-117.51
0.232,1.296,0.22,-18.066,84.839,-20.325,93.032,2.214,-110.814
-0.08,0.256,0.076,-23.682,54.688,8.484,90.121,2.071,-106.216
0.525,1.027,-0.481,-13.306,105.896,-1.343,87.77,1.802,-97.103
0.261,1.534,0.143,17.395,63.599,14.526,90.489,1.39,-91.241
0.178,0.198,-0.146,0.366,-84.412,-19.165,87.764,3.104,-86.342
0.146,1.546,0.014,-15.93,40.71,-16.724,88.143,3.483,-79.503
-0.078,-0.066,0.084,6.836,16.968,8.85,87.314,2.961,-77.822
0.078,0.549,-0.154,-24.963,18.005,3.296,85.699,1.791,-75.613
0.232,1.735,-0.05,-16.724,8.484,17.151,89.561,2.318,-69.093
-0.208,0.013,0.166,-31.921,22.461,-10.254,88.231,2.488,-60.342
-0.112,0.104,-0.243,-29.602,-8.911,-29.297,88.286,3.702,-54.448
-0.213,4.117,-0.617,66.223,83.618,25.696,88.671,3.208,-49.285
0.124,1.417,-0.082,-42.786,-23.254,7.629,90.538,2.796,-49.559
-0.034,-0.438,0.012,-1.404,-60.486,19.043,88.522,2.34,-46.648
0.122,0.203,-0.021,-26.917,41.199,-3.967,86.495,0.95,-47.373
0.064,2.345,0.183,33.203,65.796,21.362,90.231,0.374,-41.056
-0.046,0.579,0.016,-30.334,-25.146,-5.981,89.852,-0.934,-33.887
0.128,-0.019,-0.21,-10.254,9.583,-11.353,89.55,-1.016,-30.597
-0.262,1.467,-0.501,30.457,-17.09,32.532,89.401,-1.401,-29.443
0.402,1.558,0.361,-67.749,-100.281,13.916,91.818,-1.258,-32.223
0.032,-0.339,0.201,19.531,-7.507,-9.338,88.726,-1.099,-35.552
0.099,0.219,0.036,-32.715,-31.982,-0.488,88.385,-1.89,-39.661
0.457,2.916,0.011,73.975,53.345,8.362,89.566,-1.89,-37.029
0.071,0.929,-0.081,-34.302,-16.602,-13.184,90.159,-2.829,-32.893
0.195,0.008,-0.182,38.147,52.429,-17.883,88.901,-1.846,-34.75
-0.258,0.949,-0.201,17.761,-124.451,12.207,87.473,-1.335,-36.716
0.076,1.48,0.318,-7.874,-69.153,3.113,90.895,0.11,-39.501
-0.154,-0.21,0.188,-11.658,5.737,-19.775,88.412,0.72,-42.237
0.159,0.192,-0.112,-43.701,3.113,0.549,88.077,0.406,-47.214
0.092,3.75,-0.473,98.938,-16.052,-30.151,88.132,0.236,-44.16
-0.017,1.401,-0.239,-5.31,108.398,18.799,92.307,-0.978,-38.925
0.042,-0.321,0.064,-12.329,25.391,-4.578,90.044,-0.648,-39.001
0.06,0.082,0.11,-25.269,-41.748,-6.592,88.099,0.813,-35.486
-0.413,2.498,0.437,74.89,-79.468,-33.936,93.257,0.676,-35.03
-0.047,0.402,-0.142,-44.434,-22.705,-3.54,90.115,1.143,-39.924
0.051,0.138,-0.167,-19.775,-22.705,9.644,90.797,0.681,-44.539
-0.074,1.856,-0.241,1.099,-34.79,23.621,90.566,-0.148,-44.572
-0.177,1.82,0.078,-8.606,75.195,7.141,92.675,-0.126,-39.699
-0.155,-0.165,0.23,-13.184,-10.315,-7.385,88.445,0.082,-37.694
0.008,0.221,-0.08,-36.926,45.959,-0.122,88.16,1.241,-34.233
-0.334,4.59,0.125,21.851,28.381,-8.057,91.324,0.461,-33.272
-0.103,1.278,-0.282,-54.382,-10.498,-2.38,90.06,1.505,-35.771
0.086,-0.183,-0.359,4.211,-65.247,15.686,88.737,1.961,-34.926
0.146,0.287,-0.038,8.057,92.346,-8.118,87.231,1.615,-30.806
0.299,1.897,0.723,9.644,43.396,-1.831,88.797,1.89,-24.78
-0.361,0.206,0.25,-24.597,-5.371,-5.371,86.962,1.208,-17.21
0.03,0.213,-0.217,-23.315,-51.331,-22.583,86.479,3.477,-12.563
0.24,2.264,-0.911,52.551,117.432,45.044,87.253,3.285,-10.135
0.211,1.575,0.388,-27.283,-9.583,16.174,89.05,0.89,-5.136
-0.018,-0.215,0.08,8.362,118.286,0.488,88.154,1.659,2.131
0.104,0.118,0.049,-32.776,67.627,-16.785,86.869,1.148,6.866
0.216,2.304,0.292,60.303,110.535,19.287,88.841,1.099,14.101
0.006,1.086,-0.173,-19.47,100.586,-9.338,90.132,-0.286,27.702
0.17,0.013,0.106,-12.512,78.064,-15.686,88.22,0.412,34.305
-0.111,0.089,0.248,-47.852,21.362,-21.912,86.836,2.258,39.968
-0.003,1.62,0.127,-13.306,126.282,-13.306,91.791,0.33,49.845
0.103,0.48,-0.518,-23.743,93.689,-3.845,89.456,-0.731,58.2
-0.271,0.136,-0.214,-18.127,30.029,16.113,88.039,-1.983,64.023
0.82,1.945,0.044,-68.542,94.971,11.719,86.49,-2.428,71.938
0.628,1.83,0.478,36.682,135.742,3.967,90,-3.263,79.497
0.124,0.293,0.224,3.845,44.556,-8.545,89.247,-3.351,88.687
